Protein_ID,Gene,S1,S2,S3,R1,R2,R3
P42285,MTREX,1.27234,0.935295,1.0821,1.26197,0.650764,1.03832
Q9UBK8,MTRR,-0.832273,-0.496355,-0.158491,-0.792156,-0.402906,-0.75082
Q13505,MTX1,-1.28041,0.405516,0.334867,0.528549,0.475086,0.521042
O75431,MTX2,0.291302,-0.0515289,-0.0395279,-0.161966,-0.526308,-0.394907
Q5HYI7,MTX3,-1.5539,-0.6315,-0.823168,-1.28906,-1.56151,-1.13046
Q96EY5,MVB12A,-2.96371,-2.15637,-2.15446,-2.15858,-1.44305,-1.79782
P53602,MVD,1.06442,0.961527,1.18858,0.256638,0.52607,0.286577
Q03426,MVK,-1.46261,-0.723993,-0.777613,-1.48246,-0.663813,-1.17658
Q14764,MVP,1.3285,1.41978,1.54097,1.32957,1.54102,1.30764
P20591;P20592,MX1,-2.43944,-2.6656,-2.83057,-2.01353,-2.55488,-2.87392
P84157,MXRA7,-1.62263,-0.371195,-0.385313,-0.147753,0.238787,-0.191011
Q9BQG0,MYBBP1A,0.68054,0.470892,0.490986,0.734409,0.941107,0.582819
Q99417,MYCBP,-0.373909,1.03748,0.967134,1.13402,0.887526,0.954002
O75592,MYCBP2,-1.31899,-2.05135,-1.88217,-2.52519,-1.82252,-2.49934
Q99836,MYD88,-1.11658,-2.01922,-1.77537,-1.76383,-1.6213,-1.7355
Q969H8,MYDGF,-2.91357,0.479994,0.481709,0.483603,0.356144,0.307638
Q9HB07,MYG1,-0.243406,0.376564,0.395409,0.298763,0.505892,0.408567
not found,MYH1,-1.07435,-1.77537,-1.87228,-1.41575,-1.48657,-1.37591
P35580;Q7Z406,MYH10,1.60459,1.29123,1.2445,0.941372,1.25096,1.02566
P35749,MYH11,0.953133,-1.15997,-0.241602,0.687616,-5.23668,-1.41377
P35579,MYH9,3.19819,4.30282,4.30887,4.54067,4.36457,4.5154
not found,MYL12A,4.01475,3.96477,3.98694,4.1238,4.46597,3.95567
P60660,MYL6,1.64728,4.42568,4.48751,4.4961,3.39232,4.48683
P14649,MYL6B,-0.867897,-1.75236,-0.864647,-1.50027,-3.07183,-2.4495
Q92614,MYO18A,-0.489386,-0.758224,-0.944824,-0.781118,-0.255735,-0.751925
O43795,MYO1B,1.05176,0.584963,0.509365,0.900921,1.1375,0.94058
O00159,MYO1C,2.20535,1.58074,1.61921,1.82368,1.73118,1.76897
Q12965,MYO1E,-0.0674286,1.06193,1.01937,0.823677,0.78241,0.973902
Q9Y4I1,MYO5A,-0.013237,-1.01109,-1.70831,-1.78229,-1.13335,-1.30696
Q9ULV0,MYO5B,-0.763561,-1.38519,-1.60148,-1.69577,-1.18144,-1.22989
Q9NQX4,MYO5C,-1.42787,-2.15308,-2.06886,-1.99707,-1.42893,-2.02249
Q9UM54,MYO6,-2.59972,-1.0758,-1.78729,-1.54947,-0.848085,-1.33528
Q13459,MYO9B,-1.95385,-0.838604,-0.561632,-0.977943,-0.523432,-0.874224
Q9NZM1,MYOF,1.71104,1.69849,1.74862,1.76854,1.83996,1.79903
O75113,N4BP1,-1.4412,-2.42259,-2.1144,-2.24235,-2.29829,-2.56412
Q9Y5N5,N6AMT1,0.150024,-0.436491,-0.61294,-1.41324,-1.87625,-0.674732
P41227,NAA10,-1.71695,-0.683939,-0.415962,-0.274839,1.34483,-0.801458
Q9BXJ9,NAA15,0.634604,0.376564,0.453512,0.663637,0.722466,0.599993
P61599,NAA20,-1.31654,-1.35347,-1.33545,-1.61096,-2.29605,-1.35972
Q14CX7,NAA25,0.798859,-0.415333,-0.367258,-0.515556,-0.187731,-0.329823
Q86UY6,NAA40,-1.50218,-0.4585,-0.548595,-0.368013,-0.192535,-0.214048
Q9GZZ1,NAA50,1.10785,-0.515308,-0.369413,0.0746384,-0.298531,0.0192928
Q13506,NAB1,-0.904423,-1.58896,-1.39222,-1.65444,-0.8986,-1.42875
Q15742,NAB2,0.400139,-0.632912,-0.730778,-1.03442,-0.610701,-0.873928
Q9BQ15,NABP2,-2.59917,-2.08914,-2.17784,-1.92933,-1.76469,-2.24786
Q13765;E9PAV3,NACA,2.28861,3.2305,3.38549,3.62069,3.74416,3.15186
Q96RE7,NACC1,1.77996,-0.575901,-0.532318,-0.383904,-0.0413685,-0.465931
Q4G0N4,NADK2,0.449215,0.479994,0.500204,0.267284,0.516016,0.286577
Q13564,NAE1,-0.307182,1.44324,1.47237,1.3647,1.19535,1.47058
Q96HR8,NAF1,-2.91582,-3.10195,-3.00903,-3.58381,-1.25325,-2.10089
P17050,NAGA,-1.64928,-1.19968,-1.10338,-1.28727,-1.01794,-1.31325
Q9UJ70,NAGK,0.505983,-0.13245,-0.224068,-0.0257626,0.0840645,-0.0327015
P54802,NAGLU,-1.91664,-2.625,-2.57012,-2.75398,-2.8398,-3.10641
P43490,NAMPT,2.66608,2.99366,3.1481,2.93471,2.87184,2.73244
Q9NR45,NANS,0.672297,1.40073,1.53201,1.26728,1.38957,1.08786
P55209,NAP1L1,1.69689,2.08895,2.22239,2.34724,1.11769,2.18496
Q99733,NAP1L4,1.39764,2.36678,2.38051,2.45362,2.65993,2.36151
P54920,NAPA,1.86907,2.29382,2.14222,1.97748,1.73118,1.99028
Q99747,NAPG,0.821402,0.915304,0.744743,0.816446,0.992769,0.521042
Q6XQN6,NAPRT,-0.356936,0.376564,0.481709,-0.484766,-0.162138,-0.675013
O43776,NARS1,1.27506,2.1008,2.09737,2.00637,1.65535,1.96399
Q96I59,NARS2,-0.892145,-0.75429,-0.695826,-1.06571,-0.619589,-1.09351
P49321,NASP,2.86907,3.2704,3.22795,3.38439,3.57289,3.41586
Q9H0A0,NAT10,0.756594,0.50696,0.665016,0.546143,0.52607,0.582819
Q8NCW5,NAXE,2.20535,1.83954,1.81291,1.91114,2.06005,1.98047
A2RRP1,NBAS,-1.0199,-1.283,-1.36157,-1.27629,-0.875563,-1.39141
A0A0U1RRE5,NBDY,1.83439,0.610054,0.571905,0.687616,1.22651,0.698959
O60934,NBN,-2.03977,-1.29912,-1.49168,-1.58201,-1.79911,-1.68167
Q15021,NCAPD2,0.688736,0.0374756,0.0759487,0.465223,0.584963,0.447042
P42695,NCAPD3,-1.10236,-1.54425,-0.880451,-0.750484,-1.12734,-1.49344
Q9BPX3,NCAPG,0.449215,0.286053,0.453512,0.75725,0.505892,0.799026
Q86XI2,NCAPG2,-0.0882874,-0.741943,-0.675062,-0.551619,-0.58432,-0.442297
Q15003,NCAPH,-1.0199,-0.756542,-0.669146,-0.247711,-0.229263,-0.263371
Q09161,NCBP1,0.976757,-0.078001,0.0257626,-0.202093,0.0285702,-0.0729656
P52298,NCBP2,-0.844049,0.155796,0.314108,0.235104,0.310341,-0.114386
Q53F19,NCBP3,-0.855925,1,1.00648,1.04401,1.30451,1.05086
Q9UBB6,NCDN,1.54263,0.832447,0.2824,0.339693,-0.153057,0.254396
Q6PIU2,NCEH1,0.587156,1.62244,1.67319,1.42299,1.61353,1.50745
P16333,NCK1,-1.59544,1.33202,1.30887,1.18545,1.38957,1.22702
O43639,NCK2,-1.89449,-2.71191,-2.89565,-3.01181,-2.6956,-2.91102
Q9Y2A7,NCKAP1,1.17358,0.461731,0.355331,0.446608,0.176323,0.447042
Q9NZQ3,NCKIPSD,-1.95385,-0.790331,-0.531128,-0.887716,-0.134695,-2.42482
P19338,NCL,3.86002,4.33453,4.41015,4.43249,4.38543,4.33482
Q969V3,NCLN,0.626091,0.666956,0.648527,0.726715,0.495695,0.761356
Q9HCD5,NCOA5,1.70701,0.759567,0.665016,0.298763,0.422234,0.0446033
Q8NI08,NCOA7,-1.85325,-2.88334,-2.73855,-3.41488,-2.28473,-3.50962
O75376,NCOR1,-1.08829,-1.82839,-2.1229,-1.51822,-3.0157,-1.87254
Q9Y618,NCOR2,-0.741365,-2.00445,-2.14531,-2.45189,-2.69545,-2.122
Q92542,NCSTN,0.349333,1.33202,1.42959,1.29356,1.50589,1.12985
Q9BTX1,NDC1,-1.98427,-1.44117,-2.04559,-1.52078,-1.94698,-1.54024
not found,NDE1,-1.88229,-1.96891,-1.81894,-1.22282,-1.13343,-1.78836
Q92597,NDRG1,1.76631,1.5025,1.523,0.245911,0.505892,0.286577
Q9UN36,NDRG2,0.876265,-0.704565,-0.510553,-3.90679,-0.946932,-3.68303
Q9UGV2,NDRG3,-0.555618,0.275635,0.365456,0.157101,-0.299692,-0.12846
O95299,NDUFA10,-0.145432,-0.223627,-0.660408,-0.644634,-0.32992,-0.650383
Q86Y39,NDUFA11,-0.645504,-0.948523,-1.13386,-0.91247,-0.675314,-0.921129
Q9UI09,NDUFA12,-1.11658,-0.376244,-0.550808,-0.470581,-0.0814095,-0.601152
Q9P0J0,NDUFA13,0.551641,0.515839,0.0510731,0.256638,-0.25878,-0.0866394
O43678,NDUFA2,-0.282934,0.559427,0.527512,0.606087,0.790773,0.286577
O00483,NDUFA4,1,2.07099,1.79804,1.44192,1.23266,1.61274
Q16718,NDUFA5,0.725058,0.948471,0.554312,0.61445,0.536053,0.791571
P56556,NDUFA6,-0.867897,-0.675697,-0.836891,-0.579742,-0.744267,-0.504452
O95182,NDUFA7,-1.30003,-1.81456,-2.28094,-2.1861,-1.49357,-1.73499
P51970,NDUFA8,-0.471006,0.243927,0.365456,0.168507,-0.847879,0.153311
Q16795,NDUFA9,1.55837,1.22781,0.967134,0.823677,0.378511,0.86445
O14561,NDUFAB1,1.28861,0.395929,0.324526,-0.11974,-0.506292,0.0570946
Q8N183,NDUFAF2,3.52155,3.73697,3.97872,3.68166,3.60881,3.87859
Q9P032,NDUFAF4,0.668156,-0.43544,-0.608349,-0.907986,0.189034,-1.65575
O75438,NDUFB1,-2.07368,-0.491184,-0.47311,-0.642271,-0.041666,-0.381538
O96000,NDUFB10,0.733007,0.515839,0.293047,0.298763,0.411427,0.0192928
Q9NX14,NDUFB11,-0.687325,1.47545,1.4392,1.25128,1.79077,1.36402
O43676,NDUFB3,-3.07874,-0.751778,-0.697153,-0.786522,-0.638779,-0.793276
O95168,NDUFB4,-0.844049,0.0250912,-0.107916,0.213243,0.545969,0.153311
O43674,NDUFB5,-2.41575,-1.2627,-1.39376,-1.6583,-1.3247,-1.61366
O95139,NDUFB6,-2.13731,-0.264673,-0.285896,-0.532631,-0.899961,0.0570946
P17568,NDUFB7,-1.4748,-1.78145,-1.60528,-1.59766,-0.846855,-1.76349
